EGIX Day	Trading Day
32,518	29.04.2025
33	30.04.2025
33,905	02.05.2025
33,513	05.05.2025
34,792	06.05.2025
35,582	07.05.2025
35,798	08.05.2025
35,806	09.05.2025
36,487	12.05.2025
36,346	13.05.2025
35,696	14.05.2025
35,889	15.05.2025
36,109	16.05.2025
35,764	19.05.2025
37,79	20.05.2025
38,077	21.05.2025
37,453	22.05.2025
37,288	23.05.2025
37,7	26.05.2025
37,816	27.05.2025
37,638	28.05.2025
36,353	29.05.2025
35,763	30.05.2025
36,03	02.06.2025
36,506	03.06.2025
36,749	04.06.2025
37,402	05.06.2025
37,238	06.06.2025
36,524	09.06.2025
35,762	10.06.2025
36,509	11.06.2025
37,03	12.06.2025
38,861	13.06.2025
39,464	16.06.2025
39,881	17.06.2025
40,782	18.06.2025
41,836	19.06.2025
41,686	20.06.2025
41,741	23.06.2025
37,107	24.06.2025
36,728	25.06.2025
35,457	26.06.2025
34,55	27.06.2025
None	29.06.2025
34,342	30.06.2025
