EGIX Month	Trading Day
36,74	29.04.2025
33	30.04.2025
33,453	02.05.2025
33,473	05.05.2025
33,803	06.05.2025
34,158	07.05.2025
34,432	08.05.2025
34,628	09.05.2025
34,86	12.05.2025
35,025	13.05.2025
35,093	14.05.2025
35,165	15.05.2025
35,244	16.05.2025
35,284	19.05.2025
35,463	20.05.2025
35,637	21.05.2025
35,75	22.05.2025
35,841	23.05.2025
35,944	26.05.2025
36,043	27.05.2025
36,123	28.05.2025
36,133	29.05.2025
35,763	30.05.2025
35,897	02.06.2025
36,1	03.06.2025
36,262	04.06.2025
36,49	05.06.2025
36,615	06.06.2025
36,602	09.06.2025
36,497	10.06.2025
36,498	11.06.2025
36,551	12.06.2025
36,761	13.06.2025
36,987	16.06.2025
37,209	17.06.2025
37,464	18.06.2025
37,756	19.06.2025
38,001	20.06.2025
38,221	23.06.2025
38,16	24.06.2025
38,084	25.06.2025
37,953	26.06.2025
37,791	27.06.2025
None	29.06.2025
34,342	30.06.2025
