"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Gemeinde";"Landkreis";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Technologie der Stromerzeugung";"Lage der Einheit";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Art der Bodenfläche (der PV-Anlage)";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"MaStR-Nr. der Speichereinheit";"Speichertechnologie";"Nutzbare Speicherkapazität in kWh";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE924419859717";"110284";"In Betrieb";"Erdgas";"238";"238";"15.1.2019";"1.2.2019";"Bayern";"82205";"Gilching";"Dornierstraße";"";"";"";"09188121";"Gilching";"Starnberg";"48,091123";"11,308048";"Verbrennungsmotor";"";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"";"";"4.6.2024";"";"";"ESB Wärme GmbH";"ABR963714409852";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Bayernwerk Netz GmbH (SNB940352624434)";"SNB940352624434";"In Prüfung";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL945111647112";"";"";"";"";"";"KWK992701241922";"15.1.2019";"238";"366"
"SEE912037755702";"Viessmann BHKW";"In Betrieb";"Erdgas";"99";"99";"11.10.2018";"1.2.2019";"Bayern";"87719";"Mindelheim";"Kurt-Kleiner-Straße";"1";"";"";"09778173";"Mindelheim";"Unterallgäu";"48,059";"10,508";"Verbrennungsmotor";"";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"";"";"28.5.2019";"";"";"Konrad Kleiner GmbH & Co. KG";"ABR982116432831";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Vereinigte Wertach Elektrizitätswerke GmbH (SNB966808200267)";"SNB966808200267";"Geprüft";"Mittelspannung";"SEL915602386578";"";"";"";"";"";"KWK966101088524";"11.10.2018";"99";"173"
"SEE921045816626";"110194";"In Betrieb";"Erdgas";"238";"238";"11.6.2014";"1.2.2019";"Bayern";"82205";"Gilching";"Friedrichshafener Straße";"7";"";"";"09188121";"Gilching";"Starnberg";"48,092";"11,283";"Verbrennungsmotor";"";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"";"";"4.12.2023";"";"";"ESB Wärme GmbH";"ABR963714409852";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Bayernwerk Netz GmbH (SNB940352624434)";"SNB940352624434";"Geprüft";"Mittelspannung";"SEL949370935232";"";"";"";"";"";"KWK917813710807";"11.6.2014";"238";"363"
"SEE945091856061";"MNO";"In Betrieb";"Erdgas";"239";"239";"30.10.2015";"5.2.2019";"Bayern";"80935";"München";"Weitlstraße";"66";"";"";"09162000";"München";"München";"48,209";"11,555";"Verbrennungsmotor";"";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"";"";"19.4.2021";"";"";"Collegium Augustinum Gemeinützige GmbH";"ABR946617410187";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"SWM Infrastruktur GmbH & Co. KG (SNB969473762610)";"SNB969473762610";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL959847795030";"";"";"";"";"";"KWK948540234342";"30.10.2015";"226";"372"
"SEE945128513080";"Pullman City BHKW-Anlage";"In Betrieb";"Erdgas";"190";"190";"19.10.2018";"26.2.2019";"Bayern";"94535";"Eging a.See";"Ruberting";"30";"";"";"09275120";"Eging a. See";"Passau";"48,696529";"13,262945";"Verbrennungsmotor";"";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"";"";"8.12.2020";"";"";"PC Westernstadt GmbH & Co. KG";"ABR918801216172";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Bayernwerk Netz GmbH (SNB940352624434)";"SNB940352624434";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL916427659137";"";"";"";"";"";"KWK915656773638";"19.10.2018";"190";"240"
"SEE961053147558";"BHKW GDM15";"In Betrieb";"Erdgas";"121";"120";"1.10.2003";"7.2.2019";"Bayern";"81677";"München";"Prinzregentenstraße";"159";"";"";"09162000";"München";"München";"48,139";"11,623";"Verbrennungsmotor";"";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"";"";"29.8.2019";"";"";"Giesecke + Devrient";"ABR910162312517";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"SWM Infrastruktur GmbH & Co. KG (SNB969473762610)";"SNB969473762610";"Geprüft";"Mittelspannung; Mittelspannung";"SEL962133770482";"";"";"";"";"";"KWK998461220795";"1.10.2003";"120";"200"
"SEE999514598113";"BHKW 1";"In Betrieb";"Erdgas";"50";"50";"21.6.2018";"7.2.2019";"Bayern";"94072";"Bad Füssing";"Bachstraße";"15";"";"";"09275116";"Bad Füssing";"Passau";"48,345";"13,31";"Verbrennungsmotor";"";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"";"";"12.3.2025";"";"";"Das Mühlbach e.K. Freudenstein Florian";"ABR959009533241";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Bayernwerk Netz GmbH (SNB940352624434)";"SNB940352624434";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL998128892204";"";"";"";"";"";"KWK911996262740";"12.10.2018";"50";"81"
"SEE960018910541";"BHKW";"In Betrieb";"Erdgas";"200";"200";"29.9.2016";"7.2.2019";"Bayern";"83125";"Eggstätt";"Obinger Straße";"15";"";"";"09187125";"Eggstätt";"Rosenheim";"47,92853";"12,377278";"Verbrennungsmotor";"";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"";"";"27.1.2021";"";"";"Knott GmbH";"ABR950581460987";"Teileinspeisung (einschließlich Eigenverbrauch)";"SGE956744180792";"Bayernwerk Netz GmbH (SNB940352624434)";"SNB940352624434";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL908585020089";"";"";"";"";"";"KWK947279611684";"17.11.2016";"200";"258"
"SEE986487471802";"Berufsschule 1";"In Betrieb";"Erdgas";"70";"67";"8.4.2014";"7.2.2019";"Bayern";"84034";"Landshut";"Luitpoldstraße";"26";"";"";"09261000";"Landshut";"Landshut";"48,539";"12,143";"Verbrennungsmotor";"";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"";"";"28.5.2019";"";"";"Zweckverband berufliche Schulen Landshut (Stadt und Landkreis)";"ABR975382127129";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Stadtwerke Landshut (SNB928992067729)";"SNB928992067729";"Geprüft";"Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL905444633732";"";"";"";"";"";"KWK919275922101";"8.4.2014";"70";"115"
"SEE980574726141";"BHKW 1";"In Betrieb";"Erdgas";"140";"135";"26.8.2015";"11.2.2019";"Bayern";"93055";"Regensburg";"Rathenaustraße";"2";"";"";"09362000";"Regensburg";"Regensburg";"48,995";"12,154";"Verbrennungsmotor";"";"";"";"";"";"";"";"";"";"Erdgas, Erdölgas";"";"";"";"25.7.2019";"";"";"Schneider Electric Sachsenwerk GmbH";"ABR929083458259";"Teileinspeisung (einschließlich Eigenverbrauch)";"";"Regensburg Netz GmbH (SNB941929592729)";"SNB941929592729";"Geprüft";"Mittelspannung; Niederspannung (= Hausanschluss/Haushaltsstrom)";"SEL962188132662";"";"";"";"";"";"KWK999602131314";"26.8.2015";"140";"207"
